Ticker,EPS_2021,EPS_2022
BKV,-2.029276,4.875356
BLCO,0.52,0.02
BLD,9.78,17.14
BLDR,8.48,16.82
BLE,1.13,
BLK,38.06712,33.97
BLND,-1.3,-3.28
BLW,0.69,-1.85
BLX,1.62,2.54
BMA,673.1,673.094213
BME,4.74,-2.1
BMEZ,-2.55,-5.97
BMI,2.08,2.26
BML^G,,
BML^H,,
BML^J,,
BML^L,,
BMN,,0.42
BMO,11.58,19.99
BMY,3.12,2.95
BN,2.39,1.19
BNED,-57.754853,-28.986398
BNH,,
BNJ,,
BNL,0.67,0.72
BNS,7.7,8.02
BNT,-1.277342,13.75
BNY,0.94,-2.16
BOC,1.82,0.34
BODI,-41.5,-31.5
BOE,1.88,-1.67
BOH,6.25,5.48
BOH^A,,
BOH^B,,
BOOT,2.01,6.33
BORR,-1.43,-1.64
BOW,,0.357
BOX,,-0.35
BP,2.2398,-0.786
BR,4.65,4.55
BRBR,0.7,0.88
BRC,2.47,2.9
BRCC,-0.314588,-1.62
BRDG,0.93,0.92
BRFS,0.494991,-3.01
BRK/A,,
BRK/B,,
BRO,2.07,2.37
BROS,-0.31,-0.09
BRSL,0.32,1.37
BRSP,-0.79,0.34
BRT,1.62,2.66
BRW,0.26,-0.16
BRX,0.9,1.17
BSAC,1794.8,1681.6
BSBR,1.98165,1.83143
BSL,1.32,-1.35
BSM,0.77,2.12
BST,5.41,-20.29
BSTZ,3.18,-16.99
BSX,0.69,0.45
BTA,2.72,-1.56
BTCM,-9.0,-19.5
BTE,2.82,1.52
BTI,2.956,2.919
BTO,13.5,-4.53
BTT,1.76,-2.3
BTU,2.701425,8.31
BTX,-2.58,-6.91
BTZ,0.4,-2.99
BUD,2.28,2.91
BUI,3.51,-2.04
BUR,-0.13,0.139563
BURL,,6.0
BV,0.44,0.14
BVN,-1.04,2.372
BW,0.26,-0.43
BW^A,,
BWA,2.239582,3.99
BWG,0.75,-3.14
BWLP,1.33,1.68
BWMX,48.95378,19.700082
BWNB,,
BWSN,,
BWXT,3.24,2.6
BX,8.13,2.36
BXC,29.99,31.51
BXMT,2.77,1.46
BXMX,2.4,-1.77
BXP,3.17,5.4
BXSL,3.19,2.44
BY,2.4,2.34
BYD,4.07,5.87
BYM,1.07,
BYON,8.11,-0.83
BZH,4.01,7.17
C,10.14,7.0
C^N,,
CAAP,-0.73,1.05
CABO,46.49,38.06
CACI,18.3,15.49
CADE,1.54,2.46
CADE^A,,
CAE,,0.45
CAF,-0.62,-6.06
CAG,,1.84
CAH,2.08,-3.35
CAL,,3.56
CALX,3.51,0.6
CANG,-0.058948,-8.11
CAPL,0.57,1.63
CARR,1.87,4.1
CARS,0.11,0.25
CAT,11.83,12.64
CATO,,1.65
CAVA,-0.386069,-0.609052
CB,19.27,12.55
CBAN,1.66,1.14
CBL,,-3.2
CBNA,,1.290092
CBRE,5.41,4.29
CBT,4.34,3.62
CBU,3.48,3.46
CBZ,1.32,2.01
CC,3.6,3.65
CCI,2.53,3.86
CCIA,,
CCIF,0.749876,-0.301419
CCJ,-0.26,0.22
CCK,-4.3,5.99
CCL,-8.46,-5.16
CCM,-187.8,-112.2
CCO,-0.925984,-0.20365
CCRD,1.03,1.61
CCS,14.47,15.92
CCU,1078.0,639.6
CCZ,,
CDE,-0.13,-0.28
CDLR,0.24,0.88
CDP,0.684698,1.53
CDR^B,,
CDR^C,,
CDRE,0.44,0.16
CE,16.86,17.34
