Ticker,EPS_2021,EPS_2022
ATPC,-0.2,-0.4
ATRA,-90.75,-56.0
ATRC,1.09,-1.02
ATRO,-0.82,-1.11
ATXG,-1.4,0.02922
ATXS,-24.58,-3.55
ATYR,-1.77,-1.6
AUBN,2.27,2.95
AUDC,1.0,0.88
AUID,-6.64,-7.9
AUPH,-1.4,-0.76
AUR,-1.22,-1.51
AURA,-8.95,-1.96
AUROW,,
AUTL,-1.97,-1.57
AUUD,-552.5,-234.43
AUUDW,,
AVAH,-0.69,-3.57
AVAV,,-0.17
AVBP,,-1.154877
AVDL,-1.32,-2.29
AVDX,-2.64,-0.51
AVGO,1.49625,2.646368
AVIR,1.37,-1.39
AVNW,9.42,1.79
AVO,0.63,-0.49
AVPT,-0.48,-0.23
AVR,-2.239974,-2.258596
AVT,1.93,6.94
AVTX,-2390.399982,-1063.199991
AVXL,-0.54,-0.62
AWRE,-0.27,-0.08
AXGN,-0.65,-0.69
AXINU,,
AXON,-0.91,2.03
AXSM,-3.47,-4.6
AXTI,0.34,0.37
AYRO,-7.52,-4.95
AYTU,-69.6,-75.0
AZ,-4.2,-1.5
AZI,-0.158762,-0.178222
AZN,0.04,1.055
AZTA,1.49,28.48
BACCU,,
BACQ,,
BACQR,,
BACQU,,
BAER,-0.149438,-7.550431
BAERW,,
BAFN,5.74,-0.29
BAND,-1.09,-0.48
BANF,5.03,5.77
BANFP,,
BANL,0.142759,0.1474
BANR,5.76,5.67
BANX,1.869772,0.75
BAOS,-4.623475,-15.47
BASE,,-2.37
BATRA,-0.208374,-0.644202
BATRK,-0.208374,-0.644202
BAYA,,
BAYAR,,
BBCP,-0.31,0.47
BBGI,-1.0,-29.4
BBIO,-3.9,-3.26
BBLG,-84.0,-31.15
BBNX,,-2.123302
BBSI,1.25,1.635
BCAB,-2.76,-2.239457
BCAL,0.72,0.88
BCAX,,-2.451028
BCBP,1.92,2.58
BCDA,-11.25,-10.05
BCG,0.172783,0.056482
BCGWW,,
BCLI,-10.2,-9.9
BCML,1.9,2.06
BCPC,2.94,3.25
BCRX,-1.03,-1.33
BCTX,-1.35,-25.95
BCTXW,,
BCTXZ,,
BCYC,-2.67,-3.8
BDMD,0.284598,0.354546
BDRX,-14000.0,-15500.0
BDSX,-1.58,-1.55
BDTX,-3.47,-2.52
BEAG,,-0.015002
BEAGR,,
BEAGU,,
BEAM,-5.77,-4.13
BEAT,-1.03,-1.59
BEATW,,
BEEM,-0.74,-1.99
BEEP,-1.07442,-0.85
BELFA,2.02,4.24
BELFB,2.02,4.24
BENF,-36.577197,
BENFW,,
BETR,-20.413094,-59.455963
BFC,5.92,5.58
BFIN,0.53,0.8
